search_term,processed_search_term,search_tag
sfpd incidents,sfpd incidents,Search Term
shapefiles,shapefiles,Search Term
street,street,Search Term
street cleaning,street cleaning,Search Term
topo,topo,Search Term
zip code,zip code,Search Term
311,311,Search Term
311,311,Search Term
assessment,assessment,Search Term
bay area,bay area,Search Term
boundary,boundary,Search Term
buildings,buildings,Search Term
business account number,business account number,Search Term
business registration,business registration,Search Term
crime,crime,Search Term
crimes,crimes,Search Term
education,education,Search Term
eviction,eviction,Search Term
existing commercial buildings,existing commercial buildings,Search Term
feces,feces,Search Term
film,film,Search Term
food,food,Search Term
parcels,parcels,Search Term
park,park,Search Term
parking meter,parking meter,Search Term
parking meters,parking meters,Search Term
permits,permits,Search Term
restaurants,restaurants,Search Term
san francisco,san francisco,Search Term
streets,streets,Search Term
traffic,traffic,Search Term
weather,weather,Search Term
wireless,wireless,Search Term
zip code,zip code,Search Term
zoning districts,zoning districts,Search Term
BAN,ban,Search Term
Traffic Control Signal,traffic control signal,Search Term
aerial,aerial,Search Term
alcohol,alcohol,Search Term
bike,bike,Search Term
budget,budget,Search Term
bus,bus,Search Term
business license,business license,Search Term
businesses,businesses,Search Term
campaign finance,campaign finance,Search Term
crime,crime,Search Term
elections,elections,Search Term
events,events,Search Term
film locations,film locations,Search Term
food,food,Search Term
housing inventory,housing inventory,Search Term
income,income,Search Term
json,json,Search Term
library,library,Search Term
lots,lots,Search Term
mobile food,mobile food,Search Term
muni,muni,Search Term
open,open,Search Term
parcels,parcels,Search Term
park,park,Search Term
parking meter,parking meter,Search Term
police,police,Search Term
population density,population density,Search Term
property,property,Search Term
school,school,Search Term
sewer,sewer,Search Term
street cleaning,street cleaning,Search Term
streets,streets,Search Term
traffic,traffic,Search Term
waste,waste,Search Term
SFPD incident,sfpd incident,Search Term
assessor property roll,assessor property roll,Search Term
bike parking,bike parking,Search Term
blocks,blocks,Search Term
building,building,Search Term
bus,bus,Search Term
crime,crime,Search Term
data inventory,data inventory,Search Term
data inventory,data inventory,Search Term
district,district,Search Term
education,education,Search Term
eviction,eviction,Search Term
eviction,eviction,Search Term
eviction notices,eviction notices,Search Term
external datasets,external datasets,Search Term
fire,fire,Search Term
graffiti,graffiti,Search Term
inclusionary housing,inclusionary housing,Search Term
income,income,Search Term
land use,land use,Search Term
muni,muni,Search Term
muni,muni,Search Term
open business,open business,Search Term
parking tickets,parking tickets,Search Term
parks,parks,Search Term
restaurants,restaurants,Search Term
road,road,Search Term
salary,salary,Search Term
sfopenbook,sfopenbook,Search Term
street centerlines,street centerlines,Search Term
street sweeping,street sweeping,Search Term
streets,streets,Search Term
streets of san francisco,streets of san francisco,Search Term
traffic count,traffic count,Search Term
tree,tree,Search Term
water,water,Search Term
water,water,Search Term
Land Use,land use,Search Term
Parking,parking,Search Term
Parking,parking,Search Term
advisories,advisories,Search Term
air quality,air quality,Search Term
analysis neighborhoods,analysis neighborhoods,Search Term
art,art,Search Term
assessor,assessor,Search Term
ban,ban,Search Term
ban,ban,Search Term
bart,bart,Search Term
basemap,basemap,Search Term
bicycle,bicycle,Search Term
bicycle,bicycle,Search Term
building footprints,building footprints,Search Term
buildings,buildings,Search Term
business,business,Search Term
business,business,Search Term
catalog,catalog,Search Term
census,census,Search Term
census shapefile,census shapefile,Search Term
contracts,contracts,Search Term
crime,crime,Search Term
curb,curb,Search Term
earthquake,earthquake,Search Term
fire,fire,Search Term
food truck,food truck,Search Term
footprint,footprint,Search Term
housing,housing,Search Term
imagery,imagery,Search Term
land use,land use,Search Term
library,library,Search Term
maher,maher,Search Term
map,map,Search Term
market street,market street,Search Term
movies,movies,Search Term
noise,noise,Search Term
parcel,parcel,Search Term
parking,parking,Search Term
parking,parking,Search Term
parks,parks,Search Term
population,population,Search Term
race,race,Search Term
rent,rent,Search Term
san francisco,san francisco,Search Term
schedule a,schedule a,Search Term
sfmta,sfmta,Search Term
shoreline,shoreline,Search Term
street,street,Search Term
streets,streets,Search Term
taxi,taxi,Search Term
topography,topography,Search Term
transportation,transportation,Search Term
tree,tree,Search Term
water,water,Search Term
wind,wind,Search Term
Housing,housing,Search Term
Streets,streets,Search Term
bicycle,bicycle,Search Term
bike,bike,Search Term
block,block,Search Term
building height,building height,Search Term
bus,bus,Search Term
business license,business license,Search Term
business license,business license,Search Term
business registration,business registration,Search Term
census shapefile,census shapefile,Search Term
census tract,census tract,Search Term
crime,crime,Search Term
crime data,crime data,Search Term
development pipeline,development pipeline,Search Term
facilities,facilities,Search Term
fire,fire,Search Term
food,food,Search Term
footprints,footprints,Search Term
garden,garden,Search Term
gis,gis,Search Term
housing,housing,Search Term
income,income,Search Term
intersections,intersections,Search Term
json,json,Search Term
land use,land use,Search Term
liquefaction,liquefaction,Search Term
muni,muni,Search Term
neighborhood,neighborhood,Search Term
neighborhood,neighborhood,Search Term
neighborhood,neighborhood,Search Term
neighborhood,neighborhood,Search Term
neighborhoods,neighborhoods,Search Term
open busienss,open busienss,Search Term
open business locations,open business locations,Search Term
parcel,parcel,Search Term
parcel,parcel,Search Term
parking,parking,Search Term
parking meters,parking meters,Search Term
parks,parks,Search Term
pipeline,pipeline,Search Term
police,police,Search Term
population,population,Search Term
poverty,poverty,Search Term
rent,rent,Search Term
restaurant inspections,restaurant inspections,Search Term
sf311,sf311,Search Term
shapefile,shapefile,Search Term
shoreline,shoreline,Search Term
street parking,street parking,Search Term
streets,streets,Search Term
streets,streets,Search Term
supervisor,supervisor,Search Term
tax,tax,Search Term
tourism,tourism,Search Term
water,water,Search Term
water,water,Search Term
weather,weather,Search Term
zip codes,zip codes,Search Term
zoning districts,zoning districts,Search Term
311,311,Search Term
311,311,Search Term
311,311,Search Term
3d,3d,Search Term
911,911,Search Term
Basemap Street Centerlines shapefile,basemap street centerlines shapefile,Search Term
Lot,lot,Search Term
Parking meters,parking meters,Search Term
San Francisco,san francisco,Search Term
affordable housing,affordable housing,Search Term
airport,airport,Search Term
base map,base map,Search Term
bicycle,bicycle,Search Term
bike,bike,Search Term
bike parking,bike parking,Search Term
building footprints,building footprints,Search Term
census,census,Search Term
census shapefile,census shapefile,Search Term
census tracts,census tracts,Search Term
construction,construction,Search Term
contours,contours,Search Term
crime,crime,Search Term
crime map,crime map,Search Term
curbs,curbs,Search Term
demographic,demographic,Search Term
density,density,Search Term
elevation,elevation,Search Term
energy,energy,Search Term
ethnicity,ethnicity,Search Term
evictions,evictions,Search Term
fire station,fire station,Search Term
food inspection,food inspection,Search Term
food truck,food truck,Search Term
geojson,geojson,Search Term
gis,gis,Search Term
graffiti,graffiti,Search Term
graffiti,graffiti,Search Term
homeless,homeless,Search Term
homelessness,homelessness,Search Term
hospital,hospital,Search Term
hospitals,hospitals,Search Term
incidents,incidents,Search Term
inclusionary,inclusionary,Search Term
income,income,Search Term
income,income,Search Term
intersections,intersections,Search Term
jobs,jobs,Search Term
liquor,liquor,Search Term
lobbyist,lobbyist,Search Term
maps,maps,Search Term
median income,median income,Search Term
neighborhood,neighborhood,Search Term
neighborhoods,neighborhoods,Search Term
neighborhoods,neighborhoods,Search Term
open,open,Search Term
open business,open business,Search Term
parcel,parcel,Search Term
parking,parking,Search Term
parking meter,parking meter,Search Term
parking meters,parking meters,Search Term
paving,paving,Search Term
poop,poop,Search Term
property,property,Search Term
property assessment,property assessment,Search Term
public schools,public schools,Search Term
retail,retail,Search Term
road polygons,road polygons,Search Term
school,school,Search Term
schools,schools,Search Term
soil,soil,Search Term
street,street,Search Term
street cleaning,street cleaning,Search Term
street cleaning,street cleaning,Search Term
street names,street names,Search Term
street sweeping,street sweeping,Search Term
survey,survey,Search Term
taxi,taxi,Search Term
traffic,traffic,Search Term
traffic counts,traffic counts,Search Term
transit,transit,Search Term
transportation,transportation,Search Term
trees,trees,Search Term
vacant,vacant,Search Term
violations,violations,Search Term
waste,waste,Search Term
zoning,zoning,Search Term
311,311,Search Term
311,311,Search Term
BUSINESS,business,Search Term
CNN,cnn,Search Term
Parking,parking,Search Term
SFPD,sfpd,Search Term
Streets,streets,Search Term
Zoning Districts,zoning districts,Search Term
address,address,Search Term
addresses,addresses,Search Term
advisories,advisories,Search Term
app showcase,app showcase,Search Term
arrests,arrests,Search Term
art,art,Search Term
basemap street centerlines,basemap street centerlines,Search Term
blocks,blocks,Search Term
building footprints,building footprints,Search Term
building footprints,building footprints,Search Term
building footprints,building footprints,Search Term
building footprints,building footprints,Search Term
bus,bus,Search Term
bus stops,bus stops,Search Term
business,business,Search Term
business license,business license,Search Term
business licenses,business licenses,Search Term
calls for service,calls for service,Search Term
car,car,Search Term
census,census,Search Term
census shapefile,census shapefile,Search Term
census tract,census tract,Search Term
census tract,census tract,Search Term
census tracts,census tracts,Search Term
centerlines,centerlines,Search Term
citylots,citylots,Search Term
crime,crime,Search Term
crime,crime,Search Term
crimes,crimes,Search Term
curb ramp,curb ramp,Search Term
demographics,demographics,Search Term
district,district,Search Term
drains,drains,Search Term
earthquake,earthquake,Search Term
earthquake,earthquake,Search Term
elevation,elevation,Search Term
employee compensation,employee compensation,Search Term
employment,employment,Search Term
evictions,evictions,Search Term
excavation,excavation,Search Term
film,film,Search Term
fire incidents,fire incidents,Search Term
food inspection,food inspection,Search Term
food trucks,food trucks,Search Term
food trucks,food trucks,Search Term
footprint,footprint,Search Term
garbage,garbage,Search Term
gis,gis,Search Term
gis,gis,Search Term
highway,highway,Search Term
homeless,homeless,Search Term
hotel,hotel,Search Term
human waste,human waste,Search Term
income,income,Search Term
inspection,inspection,Search Term
job density,job density,Search Term
land use,land use,Search Term
libraries,libraries,Search Term
library,library,Search Term
lidar,lidar,Search Term
location,location,Search Term
meter,meter,Search Term
movie,movie,Search Term
neighborhood,neighborhood,Search Term
neighborhood,neighborhood,Search Term
parcels,parcels,Search Term
parking,parking,Search Term
parking,parking,Search Term
parks,parks,Search Term
permits,permits,Search Term
permits,permits,Search Term
pipeline,pipeline,Search Term
pipeline,pipeline,Search Term
planning cases,planning cases,Search Term
population,population,Search Term
price,price,Search Term
property assessors roll,property assessors roll,Search Term
public housing,public housing,Search Term
real estate,real estate,Search Term
realtor_neighborhoods,realtor_neighborhoods,Search Term
rent,rent,Search Term
rent,rent,Search Term
rent,rent,Search Term
restaurant scores,restaurant scores,Search Term
road network,road network,Search Term
roads,roads,Search Term
salaries,salaries,Search Term
salary,salary,Search Term
san francisco,san francisco,Search Term
san francisco crime,san francisco crime,Search Term
schools,schools,Search Term
sewer,sewer,Search Term
sfpd,sfpd,Search Term
shape files,shape files,Search Term
shapefile,shapefile,Search Term
sidewalk,sidewalk,Search Term
social,social,Search Term
spending,spending,Search Term
street centerlines,street centerlines,Search Term
street sweeping,street sweeping,Search Term
street trees,street trees,Search Term
street use,street use,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets of san francisco,streets of san francisco,Search Term
taxi,taxi,Search Term
tenderloin,tenderloin,Search Term
topography,topography,Search Term
topography,topography,Search Term
tow,tow,Search Term
tree,tree,Search Term
vendor,vendor,Search Term
water,water,Search Term
water,water,Search Term
wind monitoring,wind monitoring,Search Term
zip codes,zip codes,Search Term
zoning,zoning,Search Term
zoning,zoning,Search Term
311,311,Search Term
311,311,Search Term
GIS,gis,Search Term
GIS,gis,Search Term
Land use,land use,Search Term
Parking,parking,Search Term
Parking meters,parking meters,Search Term
SFPD,sfpd,Search Term
accidents,accidents,Search Term
address,address,Search Term
address,address,Search Term
aerial,aerial,Search Term
api,api,Search Term
bart,bart,Search Term
bicycle,bicycle,Search Term
bicycle,bicycle,Search Term
bicycle,bicycle,Search Term
bicycle parking,bicycle parking,Search Term
bike,bike,Search Term
bike parking,bike parking,Search Term
blocks,blocks,Search Term
boundary,boundary,Search Term
budget,budget,Search Term
budget,budget,Search Term
building data,building data,Search Term
building footprint,building footprint,Search Term
building permit,building permit,Search Term
building permit,building permit,Search Term
business license,business license,Search Term
business licenses,business licenses,Search Term
business registration,business registration,Search Term
businesses,businesses,Search Term
census,census,Search Term
census 2000 blocks,census 2000 blocks,Search Term
census tracts,census tracts,Search Term
city lots,city lots,Search Term
crime,crime,Search Term
crime,crime,Search Term
crime data,crime data,Search Term
crime incidents,crime incidents,Search Term
crime rate,crime rate,Search Term
crime statistics,crime statistics,Search Term
crimes,crimes,Search Term
death,death,Search Term
dem,dem,Search Term
demographic,demographic,Search Term
demographics,demographics,Search Term
development pipeline,development pipeline,Search Term
education,education,Search Term
election,election,Search Term
elevation,elevation,Search Term
employment,employment,Search Term
entitlements,entitlements,Search Term
eviction notices,eviction notices,Search Term
expa,expa,Search Term
fact sheet,fact sheet,Search Term
fb global,fb global,Search Term
film,film,Search Term
fog,fog,Search Term
food,food,Search Term
food trucks,food trucks,Search Term
food trucks,food trucks,Search Term
form 460,form 460,Search Term
