# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
roads,/,8,3.38,0.00%,18.52%,00:02:45,29.12
row,/browse/embed?category=&limit=20&limitTo=&q=row&view_type=rich,8,2.38,0.00%,0.00%,00:00:09,4.38
salary,/City-Management-and-Ethics/Full-Time-Employees-By-Job-Classification/uk3k-9ai5,8,1.38,0.00%,27.27%,00:06:19,5.25
san francisco,/browse/embed?category=&limit=20&limitTo=&q=san+francisco&view_type=rich,8,2.38,0.00%,0.00%,00:01:28,9.88
schedule E,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-E-Payments/hc26-j9if,8,1.62,0.00%,0.00%,00:07:49,4.62
school,/Geographic-Locations-and-Boundaries/San-Francisco-Public-Schools-Points-Zipped-Shapefi/7ygx-tr8p,8,2.00,0.00%,0.00%,00:00:21,12.38
schools,/Geographic-Locations-and-Boundaries/Public-Schools-in-San-Francisco-CA-as-of-2010-/6ru6-qvh8,8,2.75,0.00%,13.64%,00:03:55,17.25
sewer,/,8,2.25,0.00%,0.00%,00:12:36,9.00
sewer,/browse/embed?category=&limit=20&limitTo=&q=sewer&view_type=rich,8,1.75,0.00%,0.00%,00:00:08,3.75
sewer,/City-Infrastructure/Stormwater-inlets-drains-and-catch-basins/jtgq-b7c5,8,1.25,0.00%,0.00%,00:00:52,4.00
sf shoreline and islands,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,8,1.75,0.00%,0.00%,00:00:29,5.38
sffind neighborhoods,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,8,2.62,0.00%,38.10%,00:00:46,7.62
sfpd,/Public-Safety/SFPD-Reported-Incidents-2003-to-Present/dyj4-n68b,8,2.75,0.00%,9.09%,00:01:50,11.38
SFPD incident,/Public-Safety/SFPD-Incidents-Previous-Three-Months/tmnf-yvry,8,2.00,0.00%,0.00%,00:00:24,6.00
shapefile,/browse/embed?category=&limit=20&limitTo=&q=shapefile&utf8=✓&view_type=rich&page=3,8,3.38,0.00%,7.41%,00:04:38,14.88
Shapefile,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=Shapefile&view_type=rich,8,1.25,0.00%,0.00%,00:00:03,2.38
speed limits,/Transportation/SFMTA-DPT-Speed-Limits-by-Street-Segment-Zipped-Sh/xjmx-586c,8,3.75,0.00%,0.00%,00:06:18,18.00
street,/Geographic-Locations-and-Boundaries/List-of-Streets-and-Intersections/pu5n-qu5c,8,2.38,0.00%,26.32%,00:01:25,6.88
streets,/browse/embed?category=&limit=20&limitTo=href&q=streets&view_type=rich,8,3.38,0.00%,0.00%,00:05:50,22.00
streets,/browse/embed?category=&limit=20&limitTo=maps&q=streets&view_type=rich,8,3.00,0.00%,0.00%,00:00:57,6.38
streets,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=streets&view_type=rich,8,3.62,0.00%,6.90%,00:07:27,25.25
streets,/Geographic-Locations-and-Boundaries/Arterial-Streets-of-San-Francisco-Zipped-Shapefile/2ivi-ywmk,8,4.00,0.00%,9.38%,00:03:36,22.25
supervisor districts,/Geographic-Locations-and-Boundaries/Supervisorial-Districts-as-of-April-2012/6xt7-xiej,8,2.38,0.00%,0.00%,00:00:38,7.25
survey,/City-Management-and-Ethics/1996-2011-City-Survey-Database/583k-63vu,8,1.75,0.00%,0.00%,00:00:23,5.88
sweep,/City-Infrastructure/Street-Sweeper-Scheduled-Routes-Zipped-Shapefile-F/wwci-6uqu,8,1.38,0.00%,18.18%,00:00:43,4.88
taxi,/browse/embed?category=Transportation&limit=20&limitTo=&q=taxi&view_type=rich,8,3.25,0.00%,0.00%,00:02:16,9.62
taxi,/browse/embed?Department-Metrics_Publishing-Department=&category=Transportation&limit=20&limitTo=&q=taxi&view_type=rich,8,3.00,0.00%,0.00%,00:00:37,7.88
Taxi,/browse/embed?category=&limit=20&limitTo=&q=Taxi&view_type=rich,8,3.00,0.00%,8.33%,00:01:27,10.38
topographic,/Geographic-Locations-and-Boundaries/Detailed-Topological-Map-of-San-Francisco/2fm6-ubhv,8,1.25,0.00%,0.00%,00:00:20,3.75
topographic,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,8,3.25,0.00%,30.77%,00:02:48,10.38
tourism,/,8,2.62,0.00%,14.29%,00:04:55,28.88
tow,/browse/embed?category=&limit=20&limitTo=&q=tow&view_type=rich,8,1.75,0.00%,0.00%,00:00:04,4.00
Traffic Control Signal,/browse/embed?Department-Metrics_Publishing-Department=&category=Transportation&limit=20&limitTo=&q=Traffic+Control+Signal&view_type=rich,8,2.00,0.00%,0.00%,00:00:02,4.00
transit,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=transit&view_type=rich,8,3.75,0.00%,16.67%,00:01:10,9.00
tree,/browse/embed?category=&limit=20&limitTo=&q=tree&view_type=rich,8,3.00,0.00%,8.33%,00:01:15,7.38
vacant,/browse/embed?category=&limit=20&limitTo=&q=vacant&view_type=rich,8,2.62,0.00%,14.29%,00:00:20,8.38
waste,/browse/embed?category=&limit=20&limitTo=&q=waste&view_type=rich,8,4.00,0.00%,6.25%,00:00:53,14.25
waste,/City-Management-and-Ethics/-Duplicate-Human-Waste-/eswg-wnti,8,2.38,0.00%,0.00%,00:00:34,6.88
weather,/browse/embed?category=&limit=20&limitTo=&q=weather&utf8=✓&view_type=rich&page=2,8,1.38,0.00%,0.00%,00:02:02,6.00
wind monitoring,/browse/embed?category=&limit=20&limitTo=&q=wind+monitoring&view_type=rich,8,2.75,0.00%,0.00%,00:01:02,8.38
zip,/Geographic-Locations-and-Boundaries/San-Francisco-ZIP-Codes-Zipped-Shapefile-Format-/9q84-kc2y,8,2.00,0.00%,12.50%,00:00:17,5.88
zip code,/,8,2.62,0.00%,0.00%,00:02:24,13.88
zip codes,/Geographic-Locations-and-Boundaries/Supervisor-District-and-ZIP-Codes/v22h-ujnv,8,3.25,0.00%,7.69%,00:09:03,9.62
Zoning Districts,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,8,2.62,0.00%,38.10%,00:01:40,7.38
311,/browse/embed?category=&limit=20&limitTo=datasets&q=311&view_type=rich,6,3.67,0.00%,0.00%,00:00:34,26.67
311,/City-Infrastructure/All-cases-map-view/ky99-f5iy,6,2.33,0.00%,0.00%,00:09:42,7.17
311 case,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,6,1.83,0.00%,18.18%,00:00:37,7.17
311 cases,/,6,4.50,0.00%,7.41%,00:15:34,49.17
3D,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,6,2.17,0.00%,15.38%,00:00:28,6.50
460 e,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-E-Payments/hc26-j9if,6,1.33,0.00%,25.00%,00:02:10,3.17
accidents,/Public-Safety/Traffic-Accidents-Previous-3-Months-/vv57-2fgy,6,1.83,0.00%,0.00%,00:05:50,7.17
address,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=address&view_type=rich,6,4.33,0.00%,7.69%,00:04:47,10.67
address points,/Geographic-Locations-and-Boundaries/Addresses-with-Units-Enterprise-Addressing-System-/kvej-w5kb,6,1.83,0.00%,54.55%,00:00:22,4.83
affordable housing,/browse/embed?category=&limit=20&limitTo=&q=affordable+housing&view_type=rich,6,3.17,0.00%,10.53%,00:03:33,6.67
affordable housing,/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/9rdx-httc,6,1.33,0.00%,0.00%,00:01:43,3.17
air quality,/browse/embed?category=&limit=20&limitTo=&q=air+quality&view_type=rich,6,1.67,0.00%,0.00%,00:00:05,3.17
air quality,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=air+quality&view_type=rich,6,1.83,0.00%,18.18%,00:00:09,3.67
airport,/browse/embed?category=&limit=20&limitTo=&q=airport&view_type=rich,6,1.83,0.00%,0.00%,00:00:05,3.67
alcatraz,/browse/embed?category=&limit=20&limitTo=&q=alcatraz&view_type=rich,6,2.17,0.00%,0.00%,00:00:07,8.50
assessment,/City-Management-and-Ethics/San-Francisco-Property-Assessment-Roll-2013/4sgn-36v2,6,4.33,0.00%,7.69%,00:02:07,14.67
assessor,/browse/embed?category=&limit=20&limitTo=&q=assessor&view_type=rich,6,3.50,0.00%,0.00%,00:05:08,19.50
avl,/Transportation/Raw-AVL-GPS-data/5fk7-ivit,6,1.83,0.00%,18.18%,00:00:30,6.67
BAN,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,6,1.00,0.00%,100.00%,00:00:30,7.83
bart,/,6,4.83,0.00%,17.24%,00:03:23,23.33
base map,/,6,4.33,0.00%,23.08%,00:05:43,17.17
basemap,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=basemap&view_type=rich,6,1.83,0.00%,0.00%,00:00:35,4.50
basemap,/Geographic-Locations-and-Boundaries/CCSF-Digital-Basemap-CAD-Files/uh8r-b96p,6,2.17,0.00%,0.00%,00:00:22,11.83
basemap,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,6,1.83,0.00%,0.00%,00:06:10,8.33
bay area,/Geographic-Locations-and-Boundaries/Bay-Area-General-Zipped-Shapefile-Format-/ye46-7n65,6,2.33,0.00%,14.29%,00:00:32,7.17
bay area,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,6,1.83,0.00%,45.45%,00:02:43,8.50
bay area counties,/Geographic-Locations-and-Boundaries/Bay-Area-Counties-Zipped-Shapefile-Format-/cntd-ggej,6,3.00,0.00%,0.00%,00:03:26,8.50
bay outline,/Geographic-Locations-and-Boundaries/Bay-Area-General-Zipped-Shapefile-Format-/ye46-7n65,6,1.00,0.00%,33.33%,00:00:07,5.00
bicycle,/browse/embed?Department-Metrics_Publishing-Department=&category=Transportation&limit=20&limitTo=&q=bicycle&view_type=rich,6,3.50,0.00%,0.00%,00:01:38,8.00
bicycle,/Transportation/Bay-Area-Bike-Share-Pilot-Stations/kszk-dd2f,6,3.17,0.00%,10.53%,00:06:48,9.83
bikeway,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,6,3.67,0.00%,0.00%,00:00:43,7.00
block,/Geographic-Locations-and-Boundaries/Census-2000-Blocks-no-water-Zipped-Shapefile-Forma/ffb3-h5vz,6,2.17,0.00%,0.00%,00:01:28,6.50
blocks,/browse/embed?category=&limit=20&limitTo=&q=blocks&view_type=rich,6,4.83,0.00%,0.00%,00:07:07,16.50
building,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=href&q=building&view_type=rich,6,2.17,0.00%,15.38%,00:01:39,8.83
building data,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=building+data&view_type=rich,6,1.00,0.00%,0.00%,00:00:16,2.33
building footprints,/,6,3.67,0.00%,27.27%,00:00:53,10.17
BUILDING FOOTPRINTS,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,6,1.67,0.00%,0.00%,00:00:50,9.17
building heights,/browse/embed?category=&limit=20&limitTo=&q=building+heights&view_type=rich,6,3.67,0.00%,9.09%,00:04:34,10.67
building permit,/Housing-and-Buildings/Building-Plumbing-and-Electrical-Permit-Inquiry/gnti-6wm5,6,2.17,0.00%,0.00%,00:00:55,6.50
building permits,/Housing-and-Buildings/Building-Plumbing-and-Electrical-Permit-Inquiry/gnti-6wm5,6,1.83,0.00%,0.00%,00:00:58,11.00
buildings,/Housing-and-Buildings/San-Francisco-Property-Information-Map/i8ew-h6z7,6,3.50,0.00%,23.81%,00:01:16,8.00
bus,/,6,3.67,0.00%,13.64%,00:03:29,22.67
bus,/browse/embed?category=Transportation&limit=20&limitTo=&q=bus&view_type=rich,6,2.17,0.00%,0.00%,00:00:03,4.50
business,/Economy-and-Community/Principal-Business-Code-PBC-List/5cvm-h7xc,6,4.83,0.00%,6.90%,00:03:47,25.33
business account number,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,6,3.17,0.00%,10.53%,00:02:19,23.00
Business Account Number,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,6,1.33,0.00%,62.50%,00:08:02,4.50
business license,/browse/embed?category=&limit=20&limitTo=&q=business+license&view_type=rich,6,1.83,0.00%,0.00%,00:00:59,8.00
business license,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=business+license&view_type=rich,6,2.67,0.00%,0.00%,00:07:25,17.67
business registration certificate,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,6,2.33,0.00%,14.29%,00:01:28,25.67
campaign finance,/City-Management-and-Ethics/Campaign-Finance-Database/sv2b-bdbj,6,4.00,0.00%,12.50%,00:09:33,12.00
campaign finance,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,6,5.83,0.00%,22.86%,00:06:35,16.00
cancer,/Health-and-Social-Services/Total-Cancer-Risk-Cases-per-Million-San-Francisco-/dbm9-puxk,6,2.17,0.00%,0.00%,00:00:10,6.50
car,/,6,4.50,0.00%,7.41%,00:01:14,26.50
cases by channel,/login,6,2.67,0.00%,31.25%,00:17:31,26.00
census,/Geographic-Locations-and-Boundaries/Census-2000-Block-Group-No-Water-Zipped-Shapefile-/4aaa-ycik,6,1.67,0.00%,20.00%,00:00:51,4.83
census,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,6,5.00,0.00%,26.67%,00:13:14,22.50
census 2000,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,6,4.00,0.00%,33.33%,00:07:15,10.50
Census 2000 Blocks,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,6,2.17,0.00%,46.15%,00:02:13,5.67
Census 2000 Blocks (no water),/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,6,3.67,0.00%,27.27%,00:01:12,9.83
Census 2000 Tracts,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,6,2.17,0.00%,46.15%,00:01:22,5.67
census block,/Geographic-Locations-and-Boundaries/Census-2010-Census-Blocks-for-San-Francisco-Zipped/d7g8-55kx,6,1.67,0.00%,20.00%,00:00:36,4.50
census shapefile,/Geographic-Locations-and-Boundaries/Census-2000-Blocks-no-water-Zipped-Shapefile-Forma/ffb3-h5vz,6,2.33,0.00%,14.29%,00:07:21,7.17
census shapefile,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,6,3.67,0.00%,27.27%,00:04:54,20.00
centerline,/browse/embed?category=&limit=20&limitTo=&q=centerline&view_type=rich,6,3.67,0.00%,9.09%,00:00:13,8.33
centerlines,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,6,2.67,0.00%,0.00%,00:00:13,7.50
city boundary,/,6,1.83,0.00%,18.18%,00:01:14,10.67
city boundary,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,6,1.83,0.00%,45.45%,00:01:43,12.83
city lots,/login,6,1.33,0.00%,0.00%,00:28:26,30.17
college,/Geographic-Locations-and-Boundaries/Colleges-in-San-Francisco-Zipped-Shapefile-Format-/59m3-88aj,6,1.83,0.00%,27.27%,00:00:38,4.83
construction,/browse/embed?category=&limit=20&limitTo=&q=construction&view_type=rich,6,1.83,0.00%,0.00%,00:00:08,3.67
contracts,/browse/embed?category=&limit=20&limitTo=&q=contracts&view_type=rich,6,2.33,0.00%,0.00%,00:00:17,4.83
county boundary,/Geographic-Locations-and-Boundaries/Bay-Area-Counties-Zipped-Shapefile-Format-/cntd-ggej,6,1.83,0.00%,0.00%,00:00:51,5.33
crime,/Economy-and-Community/US-Census-Bureau-Data/d53k-r35r,6,2.17,0.00%,38.46%,00:05:36,15.17
Crime,/Public-Safety/SFPD-Incidents-Current-Year-2016-/9v2m-8wqu,6,1.00,0.00%,0.00%,00:07:44,5.00
crime data,/,6,1.83,0.00%,0.00%,00:04:58,5.67
crime incidents,/browse/embed?category=&limit=20&limitTo=&q=crime+incidents&view_type=rich,6,2.67,0.00%,0.00%,00:00:47,10.17
criminal,/Public-Safety/SFPD-Incidents-Previous-Three-Months/tmnf-yvry,6,2.67,0.00%,12.50%,00:02:13,13.83
curb,/browse/embed?category=&limit=20&limitTo=&q=curb&view_type=rich,6,2.33,0.00%,14.29%,00:00:43,5.00
dataset inventory,/login,6,2.17,0.00%,23.08%,00:20:14,31.50
dem,/,6,1.67,0.00%,30.00%,00:00:19,3.67
demographic,/,6,3.17,0.00%,10.53%,00:10:29,10.67
demographics,/browse/embed?category=&limit=20&limitTo=&q=demographics&view_type=rich,6,3.17,0.00%,0.00%,00:00:34,17.83
demographics,/Health-and-Social-Services/Population-by-Ethnicity-San-Francisco-CA/geiv-ak4k,6,3.17,0.00%,0.00%,00:01:00,14.50
density,/browse/embed?category=&limit=20&limitTo=&q=density&view_type=rich,6,2.17,0.00%,0.00%,00:00:20,4.33
development pipeline,/Housing-and-Buildings/DEVELOPMENT-PIPELINE-AND-TIME/htqq-jgg7,6,7.17,0.00%,4.65%,00:04:18,26.17
district,/browse/embed?category=&limit=20&limitTo=&q=district&view_type=rich,6,2.67,0.00%,0.00%,00:00:31,11.00
district,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=district&view_type=rich,6,3.50,0.00%,9.52%,00:01:21,10.17
district,/Geographic-Locations-and-Boundaries/Supervisorial-Districts-as-of-April-2012/xz9b-wyfc,6,3.17,0.00%,0.00%,00:01:57,12.33
district,/Public-Safety/Current-Police-Districts/wkhw-cjsf,6,1.00,0.00%,33.33%,00:04:35,4.50
dog,/Culture-and-Recreation/SF-Rec-Park-Destinations/q48b-tf5c,6,1.00,0.00%,0.00%,00:04:35,3.50
drain,/City-Infrastructure/Stormwater-inlets-drains-and-catch-basins/jtgq-b7c5,6,1.00,0.00%,0.00%,00:01:56,3.67
education,/,6,1.67,0.00%,20.00%,00:02:04,18.17
education,/browse/embed?category=&limit=20&limitTo=&q=education&view_type=rich,6,1.83,0.00%,0.00%,00:00:03,4.33
education,/Economy-and-Community/Percent-of-Population-with-College-Education-or-Mo/4qbm-vfqg,6,2.17,0.00%,0.00%,00:05:31,6.50
employment,/,6,4.33,0.00%,0.00%,00:07:31,13.33
employment,/Economy-and-Community/Job-Density-San-Francisco-CA/hrfg-mcek,6,2.17,0.00%,0.00%,00:00:36,7.00
ethnicity,/,6,5.33,0.00%,18.75%,00:07:35,16.50
events,/Culture-and-Recreation/SF-Rec-Park-Calendar-of-Events/eib7-sbh5,6,3.17,0.00%,0.00%,00:01:02,10.17
evictions,/browse/embed?category=&limit=20&limitTo=&q=evictions&view_type=rich,6,1.67,0.00%,0.00%,00:00:11,3.17
exceptions,/browse/embed?category=&limit=20&limitTo=&q=exceptions&view_type=rich,6,1.83,0.00%,0.00%,00:00:04,3.67
feces,/,6,4.33,0.00%,11.54%,00:00:38,13.67
feces,/browse/embed?category=&limit=20&limitTo=&q=feces&view_type=rich,6,2.33,0.00%,14.29%,00:00:03,4.83
Film,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,6,1.83,0.00%,18.18%,00:09:39,8.50
fire,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,6,3.50,0.00%,9.52%,00:12:38,10.67
fire stations,/browse/embed?category=&limit=20&limitTo=&q=fire+stations&view_type=rich,6,1.67,0.00%,0.00%,00:00:05,7.50
flood,/,6,5.67,0.00%,5.88%,00:02:16,16.00
food,/,6,2.17,0.00%,15.38%,00:03:31,11.17
food,/browse/embed?category=&limit=20&limitTo=&q=food&utf8=✓&view_type=rich&page=2,6,3.50,0.00%,9.52%,00:03:57,11.17
food,/Economy-and-Community/Retail-Food-Stores-San-Francisco-CA/pt38-uhn6,6,3.17,0.00%,10.53%,00:08:10,16.00
food inspection,/browse/embed?category=&limit=20&limitTo=&q=food+inspection&view_type=rich,6,1.83,0.00%,0.00%,00:00:12,4.33
foodtruck,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,6,2.33,0.00%,42.86%,00:00:24,5.83
geology,/,6,2.67,0.00%,18.75%,00:01:50,10.67
gis,/browse/embed?category=&limit=20&limitTo=&q=gis&view_type=rich,6,3.17,0.00%,0.00%,00:00:59,8.00
gis,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=gis&view_type=rich,6,4.00,0.00%,0.00%,00:00:48,17.33
green connections,/Energy-and-Environment/Green-Connections-Network/3n7h-3jam,6,1.00,0.00%,0.00%,00:00:09,3.17
health,/browse/embed?category=&limit=20&limitTo=&q=health&view_type=rich,6,2.17,0.00%,0.00%,00:00:33,5.00
health score,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,6,2.67,0.00%,0.00%,00:00:41,22.50
high school,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=high+school&view_type=rich,6,1.00,0.00%,0.00%,00:00:05,2.17
highways,/Geographic-Locations-and-Boundaries/Highways-in-San-Francisco-Zipped-Shapefile-Format-/x3kh-wggj,6,1.67,0.00%,20.00%,00:00:07,3.67
homeless,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,6,6.50,0.00%,7.69%,00:10:27,21.17
house income,/browse/embed?category=&limit=20&limitTo=datasets&q=house+income&view_type=rich,6,1.67,0.00%,0.00%,00:00:20,4.33
housing,/Geographic-Locations-and-Boundaries/Affordable-Housing-Bonus-Program-Zoning-Districts-/hxy5-cgnc,6,1.67,0.00%,20.00%,00:04:55,5.67
housing,/Housing-and-Buildings/Housing-Code-Violations-San-Francisco-CA/739v-w6y3,6,2.17,0.00%,15.38%,00:02:30,9.67
housing,/Housing-and-Buildings/Residential-Housing-Density-San-Francisco-CA/q35t-jeti,6,2.67,0.00%,0.00%,00:01:10,8.00
housing inventory,/Housing-and-Buildings/2014-Housing-Inventory/pucn-j93j,6,3.67,0.00%,9.09%,00:04:22,12.33
human waste,/browse/embed?category=&limit=20&limitTo=&q=human+waste&view_type=rich,6,3.00,0.00%,0.00%,00:00:25,7.50
imagery,/Geographic-Locations-and-Boundaries/Orthophoto-mosaic-of-San-Francisco-proper-2014-10c/c24s-w3ii,6,1.67,0.00%,20.00%,00:08:11,3.67
inclusionary,/browse/embed?category=&limit=20&limitTo=&q=inclusionary&view_type=rich,6,2.67,0.00%,0.00%,00:07:57,12.83
inclusionary,/Housing-and-Buildings/Residential-Projects-with-Inclusionary-Requirement/f2n6-ybnq,6,2.17,0.00%,0.00%,00:00:35,6.50
income,/City-Management-and-Ethics/US-Census-Bureau-Data/d53k-r35r,6,5.83,0.00%,0.00%,00:01:16,18.17
indonesia,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=indonesia&view_type=rich,6,2.17,0.00%,0.00%,00:00:06,4.33
inspection food,/Health-and-Social-Services/Food-inspections-LIVES-schema/7bjp-f3sp,6,1.83,0.00%,18.18%,00:00:34,4.83
inventory,/,6,1.83,0.00%,18.18%,00:29:00,18.50
land use,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=land+use&view_type=rich,6,2.33,0.00%,14.29%,00:09:01,5.33
library,/login,6,3.50,0.00%,14.29%,00:18:21,18.67
licenses,/showcase,6,1.00,0.00%,0.00%,00:00:42,4.83
lobbyist,/browse/embed?category=&limit=20&limitTo=&q=lobbyist&view_type=rich,6,2.67,0.00%,0.00%,00:06:08,5.33
map,/browse/embed?category=&limit=20&limitTo=&q=map&view_type=rich,6,3.00,0.00%,0.00%,00:00:18,7.00
map,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=map&view_type=rich,6,2.67,0.00%,12.50%,00:00:33,6.17
map,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,6,3.00,0.00%,0.00%,00:01:32,9.33
map of crimes incidents,/Public-Safety/Map-Crime-Incidents-from-1-Jan-2003/gxxq-x39z,6,1.00,0.00%,0.00%,00:04:39,3.17
marijuana,/,6,3.00,0.00%,11.11%,00:00:31,12.00
median income,/Economy-and-Community/Per-Capita-and-Household-Median-Income-San-Francis/rhzi-zuvx,6,3.67,0.00%,0.00%,00:00:51,11.83
mobile food,/Economy-and-Community/Mobile-Food-Permit-Map/px6q-wjh5,6,3.17,0.00%,0.00%,00:01:22,9.17
muni,/browse/embed?category=&limit=20&limitTo=&q=muni&utf8=✓&view_type=rich&page=5,6,2.33,0.00%,14.29%,00:01:57,10.50
muni,/browse/embed?Department-Metrics_Publishing-Department=&category=Transportation&limit=20&limitTo=&q=muni&view_type=rich,6,5.00,0.00%,6.67%,00:01:40,32.67
muni,/Transportation/SFMTA-routes-and-stops-for-March2012/f5c3-8kkj,6,2.17,0.00%,46.15%,00:00:12,5.83
neighborhood,/,6,3.17,0.00%,0.00%,00:05:03,13.33
neighborhood,/Geographic-Locations-and-Boundaries/Realtor-Neighborhoods/5gzd-g9ns,6,3.50,0.00%,9.52%,00:18:33,8.33
neighborhood,/Geographic-Locations-and-Boundaries/SF-Find-Neighborhoods/pty2-tcw4,6,3.50,0.00%,0.00%,00:04:51,7.17
noise,/,6,2.33,0.00%,14.29%,00:05:09,9.67
obesity,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=obesity&view_type=rich,6,2.33,0.00%,14.29%,00:00:05,4.83
open,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,6,2.17,0.00%,38.46%,00:00:27,13.33
open business,/Transportation/Parking-meters/28my-4796,6,2.17,0.00%,46.15%,00:00:24,6.50
open space,/Culture-and-Recreation/Park-and-Open-Space-Map/4udc-s3pr,6,2.17,0.00%,0.00%,00:04:30,7.50
openbook,/browse/embed?category=&limit=20&limitTo=&q=openbook&view_type=rich,6,3.67,0.00%,0.00%,00:12:06,34.17
orthophoto,/Geographic-Locations-and-Boundaries/Orthophoto-mosaic-of-San-Francisco-proper-2014-10c/c24s-w3ii,6,1.67,0.00%,0.00%,00:00:29,4.83
parcel,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,6,3.00,0.00%,33.33%,00:09:05,19.50
parcel,/Housing-and-Buildings/San-Francisco-Housing-Authority-Parcels/ennt-h5ib,6,2.17,0.00%,0.00%,00:00:56,7.00
park,/browse/embed?category=&limit=20&limitTo=&q=park&utf8=✓&view_type=rich&page=2,6,3.50,0.00%,9.52%,00:00:50,18.50
park,/browse/embed?category=&limit=20&limitTo=&q=park&view_type=rich,6,2.67,0.00%,0.00%,00:01:49,6.67
park,/Culture-and-Recreation/Recreation-Park-Department-Park-Info-Dataset/z76i-7s65,6,2.17,0.00%,38.46%,00:04:43,6.50
