# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
business license,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,43,1.86,0.00%,12.50%,00:03:43,9.70
shapefiles,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=shapefiles&view_type=rich,43,1.60,0.00%,2.90%,00:00:18,4.86
trees,/City-Infrastructure/Street-Tree-Map/337t-q2b4,43,2.58,0.00%,2.70%,00:02:32,9.86
art,/Culture-and-Recreation/SF-Civic-Art-Collection/zfw6-95su,42,2.02,0.00%,2.35%,00:01:42,6.24
buildings,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,42,2.21,0.00%,8.60%,00:03:20,8.74
film,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,42,1.50,0.00%,4.76%,00:01:25,9.31
parcel,/browse/embed?category=&limit=20&limitTo=&q=parcel&view_type=rich,42,3.05,0.00%,3.91%,00:01:31,7.57
parking meter,/Transportation/Parking-meters/28my-4796,42,1.57,0.00%,0.00%,00:10:41,6.76
water,/Geographic-Locations-and-Boundaries/Water-Bodies-in-San-Francisco-Zipped-Shapefile-For/7wxv-7sn4,42,1.88,0.00%,6.33%,00:00:34,9.60
census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,40,3.52,0.00%,5.67%,00:03:03,14.08
eviction,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,40,1.68,0.00%,2.99%,00:03:32,5.18
evictions,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,40,1.65,0.00%,0.00%,00:02:38,4.90
food truck,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,40,2.25,0.00%,8.89%,00:02:35,9.35
population,/browse/embed?category=&limit=20&limitTo=&q=population&view_type=rich,39,2.51,0.00%,0.00%,00:01:15,5.92
traffic,/browse/embed?category=&limit=20&limitTo=&q=traffic&view_type=rich,39,2.23,0.00%,5.75%,00:02:04,7.33
streets,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,37,2.38,0.00%,15.91%,00:02:19,9.19
land use,/Housing-and-Buildings/Land-Use/us3s-fp9q,35,1.06,0.00%,5.41%,00:06:50,1.91
parcels,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,35,1.97,0.00%,0.00%,00:01:01,7.20
